requestedUrl,finalUrl,category,name,title,type,score
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Performance","performance-score","Overall Performance Category Score","numeric","0.7"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Performance","first-contentful-paint","First Contentful Paint","numeric","0.9"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Performance","interactive","Time to Interactive","numeric","0.99"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Performance","speed-index","Speed Index","numeric","0.99"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Performance","total-blocking-time","Total Blocking Time","numeric","0.88"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Performance","largest-contentful-paint","Largest Contentful Paint","numeric","0"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Performance","cumulative-layout-shift","Cumulative Layout Shift","numeric","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Performance","max-potential-fid","Max Potential First Input Delay","numeric","0.28"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Performance","first-meaningful-paint","First Meaningful Paint","numeric","0.97"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Performance","render-blocking-resources","Eliminate render-blocking resources","numeric","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Performance","uses-responsive-images","Properly size images","numeric","0"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Performance","offscreen-images","Defer offscreen images","numeric","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Performance","unminified-css","Minify CSS","numeric","1"
